0xf1dc 0xfc27 E 675614758
0xf1dc 0xfc27 X 675615710
0xf1dc 0xfc27 E 675616339
0xf1dc 0xfc27 X 675617141
0xf1dc 0xfc8c E 675617881
0xf1dc 0xfc8c X 675618437
0xf1dc 0xfe0e E 675618968
0xf1dc 0xfe0e X 675619613
0xf1dc 0xfc8c E 675620249
0xf1dc 0xfc8c X 675620803
0xf1dc 0xfe0e E 675621339
0xf1dc 0xfe0e X 675621854
0xf1dc 0xfc8c E 675622541
0xf1dc 0xfc8c X 675623073
0xf1dc 0xfe0e E 675623647
0xf1dc 0xfe0e X 675624320
0xf1dc 0xfc8c E 675624837
0xf1dc 0xfc8c X 675625439
0xf1dc 0xfe0e E 675626097
0xf1dc 0xfe0e X 675626625
0xf1dc 0xfc8c E 675627216
0xf1dc 0xfc8c X 675627801
0xf1dc 0xfe0e E 675628328
0xf1dc 0xfe0e X 675628845
0xf470 0xfe70 E 675629364
0xf470 0xfe70 X 675630262
0xf8cc 0xfe8c E 675630979
0x12c08 0xf9a1 E 675631748
0x12c08 0xf9a1 X 675632506
0x12c08 0xf9a1 E 675633268
0x12c08 0xf9a1 X 675634041
0x12c08 0xf9a1 E 675634870
0x12c08 0xf9a1 X 675635697
0x12c08 0xf9a1 E 675636489
0x12c08 0xf9a1 X 675637262
0x12c08 0xf9a1 E 675638137
0x12c08 0xf9a1 X 675638901
0x12c08 0xf9a1 E 675639652
0x12c08 0xf9a1 X 675640389
0xf8cc 0xfe8c X 675641107
0xf9f2 0x10e0f X 675641908
0x10d8d 0x11b32 X 675642776
0x120bd 0x11d49 E 675643618
0x120bd 0x11d49 X 675644682
0xf0d2 0x11f01 E 675645486
0xf0d2 0x11f01 X 675646864
0x12d97 0x11f13 E 675647660
0x12d97 0x11f13 X 675655080
0x11a89 0xa190 X 675655863
0x63ea 0xa1b6 E 675656732
0x1175c 0x6421 E 675657454
0x12c64 0x11787 E 675658221
0x12c64 0x11787 X 675659005
0x1175c 0x6421 X 675659695
0x63ea 0xa1b6 X 675660499
0x9823 0x746a X 675661274
0x63ea 0x77a9 E 675662125
0x1175c 0x6421 E 675662857
0x12c64 0x11787 E 675663589
0x12c64 0x11787 X 675664291
0x1175c 0x6421 X 675664984
0x63ea 0x77a9 X 675665735
0x650a 0x15fd5 X 675666490
0x650a 0x15fd5 E 675673409
0x54c7 0x6539 E 675674447
0x54c7 0x6539 X 675675245
0x650a 0x15fd5 X 675676150
0x5b90 0x16023 E 675676991
0x5a37 0x5bbc E 675677812
0x54c7 0x5a63 E 675678526
0x54c7 0x5a63 X 675679236
0x17a07 0x5b3a E 675680248
0x17949 0x17a44 E 675681078
0x17949 0x17a44 X 675681866
0x17a07 0x5b3a X 675682686
0xeff9 0x5b6f E 675683518
0xefcc 0xf01d E 675684275
0xefcc 0xf01d X 675684992
0xf0d2 0xf0bc E 675685698
0xf0d2 0xf0bc X 675687068
0xeff9 0x5b6f X 675687821
0x5a37 0x5bbc X 675688610
0x7de0 0x5bd5 E 675689390
0x7de0 0x5bd5 X 675691989
0x5b90 0x16023 X 675692785
0x15d78 0x16e26 X 675693710
0x77f3 0x16e5b E 675694623
0x54c7 0x781f E 675695380
0x54c7 0x781f X 675696051
0x12fe3 0x7870 E 675696810
0x12fe3 0x7870 X 675697831
0x12fe3 0x78a5 E 675698693
0x12fe3 0x78a5 X 675699536
0x12fe3 0x78da E 675700301
0x12fe3 0x78da X 675709813
0x12fe3 0x790f E 675710819
0x12fe3 0x790f X 675719727
0x12fe3 0x792f E 675720777
0x12fe3 0x792f X 675723793
0x77f3 0x16e5b X 675724807
0x14538 0x16e91 E 675728414
0x14538 0x16e91 X 675729404
0x16d81 0x1366f X 675762357
0x1360f 0x35b7 X 675763568
0x13b2d 0x35ca E 675764742
0x13737 0x13b66 E 675765687
0x1368e 0x13b0c E 675771448
0x14538 0x13707 E 675772604
0x14538 0x13707 X 675773496
0x1368e 0x13b0c X 675774383
0x13737 0x13b66 X 675775239
0x13b2d 0x35ca X 675776160
0x1523d 0x3629 E 675777301
0x14fdb 0x152e5 E 675778273
0x14d94 0x1513b E 675779325
0x148fe 0x14df3 E 675780385
0xb0ea 0x14a45 E 675781806
0x12f8c 0xb1bb E 675782683
0x12f8c 0xb1bb X 675783593
0xafdb 0xb20c E 675784556
0xad3c 0xb00a E 675785451
0xad3c 0xb00a X 675786330
0xaf4d 0xb0cc E 675787241
0xad3c 0xaf79 E 675788038
0xad3c 0xaf79 X 675788893
0xade8 0xafbd E 675789796
0xad3c 0xae14 E 675790736
0xad3c 0xae14 X 675791504
0xade8 0xafbd X 675792445
0xaf4d 0xb0cc X 675793397
0xafdb 0xb20c X 675794281
0xb0ea 0x14a45 X 675795131
0x147a1 0x14aae E 675796125
0x1469b 0x1489b E 675797007
0x1469b 0x1489b X 675801674
0x147a1 0x14aae X 675802744
0xaf4d 0x14b0a E 675803722
0xad3c 0xaf79 E 675804539
0xad3c 0xaf79 X 675805419
0xade8 0xafbd E 675806409
0xad3c 0xae14 E 675807250
0xad3c 0xae14 X 675808102
0xade8 0xafbd X 675808931
0xaf4d 0x14b0a X 675809772
0x148fe 0x14df3 X 675810619
0x14be9 0x14e92 E 675811524
0xb65d 0x14c85 E 675812541
0xad3c 0xb69b E 675813365
0xad3c 0xb69b X 675814222
0x17a07 0xb81b E 675815432
0x17949 0x17a44 E 675816385
0x17949 0x17a44 X 675817266
0x17a07 0xb81b X 675818159
0x17a07 0xb851 E 675819083
0x17949 0x17a44 E 675819962
0x17a64 0x179b7 E 675820880
0x17a64 0x179b7 X 675821812
0x17949 0x17a44 X 675822663
0x17a07 0xb851 X 675823648
0x17a07 0xc295 E 675825175
0x17949 0x17a44 E 675826006
0x17949 0x17a44 X 675826951
0x17a07 0xc295 X 675827947
0xb3b6 0xc4bd E 675829030
0xb3b6 0xc4bd X 675829865
0x18adf 0xce48 E 675830965
0x18adf 0xce48 X 675832337
0x17a07 0xd6d4 E 675833444
0x17949 0x17a44 E 675834295
0x17a64 0x179b7 E 675835193
0x17a64 0x179b7 X 675836171
0x17949 0x17a44 X 675837010
0x17a07 0xd6d4 X 675837847
0xb65d 0x14c85 X 675838843
0x14be9 0x14e92 X 675839773
0x14d94 0x1513b X 675840741
0x14fdb 0x152e5 X 675841674
0x1523d 0x3629 X 675842655
0x140db 0x36d9 E 675848455
0x13dfd 0x14118 E 675849625
0x13d43 0x14010 E 675868546
0x1368e 0x13ddc E 675870139
0x14538 0x13707 E 675871067
0x14538 0x13707 X 675871983
0x1368e 0x13ddc X 675872926
0x13d43 0x14010 X 675873976
0x13dfd 0x14118 X 675875023
0x140db 0x36d9 X 675876020
0x141dd 0x36f0 E 675877171
0x1413d 0x14209 E 675878161
0x1413d 0x14209 X 675897498
0x141dd 0x36f0 X 675898675
0x15430 0x3785 E 675899856
0x14fdb 0x15505 E 675900941
0x14ee8 0x15050 E 675901935
0x14d94 0x14fa3 E 675902901
0x148fe 0x14df3 E 675903809
0x147a1 0x14aae E 675904728
0x1469b 0x1489b E 675913500
0x1469b 0x1489b X 675916233
0x147a1 0x14aae X 675929711
0xaf4d 0x14b0a E 675930802
0xad3c 0xaf79 E 675931679
0xad3c 0xaf79 X 675932551
0xade8 0xafbd E 675933423
0xad3c 0xae14 E 675934275
0xad3c 0xae14 X 675935156
0xade8 0xafbd X 675936030
0xaf4d 0x14b0a X 675936911
